enabled,minimum_probability_residual,minimum_reversion_probability,trailing_giveback_fraction,trailing_activation_multiple,second_target_multiple,adverse_state_probability_move,minimum_runner_contracts,trades,scaled_reversions,full_reversion_exits,runner_target_exits,runner_trailing_exits,runner_state_exits,runner_settlements,full_settlements,fees,capital,pnl,roi
False,0.1,0.8,0.35,0.25,1.5,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,1.5,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,2.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,2.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,3.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,3.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,1.5,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,1.5,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,2.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,2.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,3.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,3.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.05,0.9,0.35,0.25,1.5,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,1.5,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,2.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,2.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,3.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,3.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,1.5,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,1.5,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,2.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,2.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,3.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,3.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.075,0.8,0.35,0.25,1.5,0.02,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.075,0.8,0.35,0.25,1.5,0.05,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.075,0.8,0.35,0.25,2.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.075,0.8,0.35,0.25,2.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.075,0.8,0.35,0.25,3.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.075,0.8,0.35,0.25,3.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.608556974648499,0.040939477433139373
False,0.03,0.9,0.35,0.25,2.0,0.02,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.35,0.25,2.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.35,0.25,3.0,0.02,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.35,0.25,3.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,2.0,0.02,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,2.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,3.0,0.02,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,3.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.35,0.25,1.5,0.02,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.35,0.25,1.5,0.05,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.5,0.25,1.5,0.02,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.5,0.25,1.5,0.05,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.075,0.8,0.5,0.25,1.5,0.02,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,1.5,0.05,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,2.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,2.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,3.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,3.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.9,0.35,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.01,0.9,0.35,0.25,2.0,0.02,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,2.0,0.05,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,3.0,0.02,0.1,80,60,17,0,57,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,3.0,0.05,0.1,80,60,17,0,57,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,1.5,0.02,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.35,0.25,1.5,0.05,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,1.5,0.02,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,1.5,0.05,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,2.0,0.02,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.923091529284642,-0.015948527124873064
False,0.01,0.9,0.5,0.25,2.0,0.05,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.923091529284642,-0.015948527124873064
False,0.01,0.9,0.5,0.25,3.0,0.02,0.1,80,60,17,1,56,2,1,3,19.07000000000001,810.2999999999998,-12.92830111110342,-0.015954956326179714
False,0.01,0.9,0.5,0.25,3.0,0.05,0.1,80,60,17,1,56,2,1,3,19.07000000000001,810.2999999999998,-12.92830111110342,-0.015954956326179714
False,0.05,0.8,0.5,0.25,2.0,0.02,0.1,60,52,0,5,42,1,4,8,25.339999999999996,614.8900000000001,-32.04842628037562,-0.052120584625503126
False,0.05,0.8,0.5,0.25,2.0,0.05,0.1,60,52,0,5,42,1,4,8,25.339999999999996,614.8900000000001,-32.04842628037562,-0.052120584625503126
False,0.05,0.8,0.35,0.25,2.0,0.02,0.1,60,52,0,3,44,1,4,8,25.339999999999996,614.8900000000001,-32.06654416535011,-0.052150049871277956
False,0.05,0.8,0.35,0.25,2.0,0.05,0.1,60,52,0,3,44,1,4,8,25.339999999999996,614.8900000000001,-32.06654416535011,-0.052150049871277956
False,0.05,0.8,0.35,0.25,3.0,0.02,0.1,60,52,0,1,46,1,4,8,25.339999999999996,614.8900000000001,-32.06654416535011,-0.052150049871277956
False,0.05,0.8,0.35,0.25,3.0,0.05,0.1,60,52,0,1,46,1,4,8,25.339999999999996,614.8900000000001,-32.06654416535011,-0.052150049871277956
False,0.05,0.8,0.5,0.25,3.0,0.02,0.1,60,52,0,2,45,1,4,8,25.339999999999996,614.8900000000001,-32.09953904492589,-0.05220370967965959
False,0.05,0.8,0.5,0.25,3.0,0.05,0.1,60,52,0,2,45,1,4,8,25.339999999999996,614.8900000000001,-32.09953904492589,-0.05220370967965959
False,0.05,0.8,0.35,0.25,1.5,0.02,0.1,60,52,0,13,34,1,4,8,25.349999999999994,614.8900000000001,-32.23826632687701,-0.05242932284941535
False,0.05,0.8,0.35,0.25,1.5,0.05,0.1,60,52,0,13,34,1,4,8,25.349999999999994,614.8900000000001,-32.23826632687701,-0.05242932284941535
False,0.05,0.8,0.5,0.25,1.5,0.02,0.1,60,52,0,13,34,1,4,8,25.349999999999994,614.8900000000001,-32.27965826826896,-0.05249663885942031
False,0.05,0.8,0.5,0.25,1.5,0.05,0.1,60,52,0,13,34,1,4,8,25.349999999999994,614.8900000000001,-32.27965826826896,-0.05249663885942031
False,0.05,0.7,0.35,0.25,2.0,0.02,0.1,95,74,0,3,65,2,4,21,48.080000000000034,978.78,-55.8100348504832,-0.05701999923423364
False,0.05,0.7,0.35,0.25,2.0,0.05,0.1,95,74,0,3,65,2,4,21,48.080000000000034,978.78,-55.8100348504832,-0.05701999923423364
False,0.05,0.7,0.35,0.25,3.0,0.02,0.1,95,74,0,1,67,2,4,21,48.080000000000034,978.78,-55.8100348504832,-0.05701999923423364
False,0.05,0.7,0.35,0.25,3.0,0.05,0.1,95,74,0,1,67,2,4,21,48.080000000000034,978.78,-55.8100348504832,-0.05701999923423364
False,0.05,0.7,0.5,0.25,2.0,0.02,0.1,95,74,0,5,63,2,4,21,48.080000000000034,978.78,-55.99960654997724,-0.057213680857779316
False,0.05,0.7,0.5,0.25,2.0,0.05,0.1,95,74,0,5,63,2,4,21,48.080000000000034,978.78,-55.99960654997724,-0.057213680857779316
False,0.05,0.7,0.5,0.25,3.0,0.02,0.1,95,74,0,2,66,2,4,21,48.080000000000034,978.78,-56.050719314527505,-0.05726590174965519
False,0.05,0.7,0.5,0.25,3.0,0.05,0.1,95,74,0,2,66,2,4,21,48.080000000000034,978.78,-56.050719314527505,-0.05726590174965519
False,0.05,0.7,0.5,0.25,1.5,0.02,0.1,95,74,0,23,45,2,4,21,48.09000000000003,978.78,-56.10100703466477,-0.05731727971011338
False,0.05,0.7,0.5,0.25,1.5,0.05,0.1,95,74,0,23,45,2,4,21,48.09000000000003,978.78,-56.10100703466477,-0.05731727971011338
False,0.05,0.7,0.35,0.25,1.5,0.02,0.1,95,74,0,23,45,2,4,21,48.10000000000003,978.78,-56.13283355237363,-0.05734979622833899
False,0.05,0.7,0.35,0.25,1.5,0.05,0.1,95,74,0,23,45,2,4,21,48.10000000000003,978.78,-56.13283355237363,-0.05734979622833899
False,0.03,0.7,0.35,0.25,3.0,0.02,0.1,200,165,0,6,147,8,4,35,108.32000000000001,2060.7900000000013,-120.70174964485058,-0.058570620803114586
False,0.03,0.7,0.35,0.25,3.0,0.05,0.1,200,165,0,6,147,8,4,35,108.32000000000001,2060.7900000000013,-120.70174964485058,-0.058570620803114586
False,0.03,0.7,0.5,0.25,3.0,0.02,0.1,200,165,0,8,144,9,4,35,108.32000000000001,2060.7900000000013,-120.87676103927443,-0.05865554522259636
False,0.03,0.7,0.5,0.25,3.0,0.05,0.1,200,165,0,8,145,8,4,35,108.32000000000001,2060.7900000000013,-120.87676103927443,-0.05865554522259636
False,0.03,0.7,0.35,0.25,2.0,0.02,0.1,200,165,0,12,141,8,4,35,108.33000000000001,2060.7900000000013,-120.91412876565097,-0.058673677941784894
False,0.03,0.7,0.35,0.25,2.0,0.05,0.1,200,165,0,12,141,8,4,35,108.33000000000001,2060.7900000000013,-120.91412876565097,-0.058673677941784894
False,0.03,0.7,0.5,0.25,2.0,0.02,0.1,200,165,0,14,139,8,4,35,108.33,2060.7900000000013,-121.04470264098585,-0.05873703901949533
False,0.03,0.7,0.5,0.25,2.0,0.05,0.1,200,165,0,14,139,8,4,35,108.33,2060.7900000000013,-121.04470264098585,-0.05873703901949533
False,0.03,0.7,0.5,0.25,1.5,0.02,0.1,200,165,0,58,95,8,4,35,108.36000000000001,2060.7900000000013,-121.07335350520289,-0.05875094187433111
False,0.03,0.7,0.5,0.25,1.5,0.05,0.1,200,165,0,58,95,8,4,35,108.36000000000001,2060.7900000000013,-121.07335350520289,-0.05875094187433111
False,0.03,0.7,0.35,0.25,1.5,0.02,0.1,200,165,0,57,96,8,4,35,108.37000000000002,2060.7900000000013,-121.15600355232355,-0.05879104787597158
False,0.03,0.7,0.35,0.25,1.5,0.05,0.1,200,165,0,57,96,8,4,35,108.37000000000002,2060.7900000000013,-121.15600355232355,-0.05879104787597158
False,0.01,0.8,0.35,0.25,1.5,0.02,0.1,356,283,23,112,156,12,3,50,177.55999999999992,3656.2899999999972,-247.16017901808658,-0.06759862566100795
False,0.01,0.8,0.35,0.25,1.5,0.05,0.1,356,283,23,112,156,12,3,50,177.55999999999992,3656.2899999999972,-247.16017901808658,-0.06759862566100795
False,0.01,0.8,0.35,0.25,3.0,0.02,0.1,355,283,22,9,259,12,3,50,176.4699999999999,3645.779999999997,-246.85921709458714,-0.06771094720322876
False,0.01,0.8,0.35,0.25,3.0,0.05,0.1,355,283,22,9,259,12,3,50,176.4699999999999,3645.779999999997,-246.85921709458714,-0.06771094720322876
False,0.01,0.8,0.35,0.25,2.0,0.02,0.1,355,283,22,33,235,12,3,50,176.4799999999999,3645.779999999997,-246.93113881815552,-0.06773067459313391
False,0.01,0.8,0.35,0.25,2.0,0.05,0.1,355,283,22,33,235,12,3,50,176.4799999999999,3645.779999999997,-246.93113881815552,-0.06773067459313391
False,0.01,0.8,0.5,0.25,1.5,0.02,0.1,355,282,23,114,153,12,3,50,177.2899999999999,3646.149999999997,-247.3019413298489,-0.06782549849288952
False,0.01,0.8,0.5,0.25,1.5,0.05,0.1,355,282,23,114,153,12,3,50,177.2899999999999,3646.149999999997,-247.3019413298489,-0.06782549849288952
False,0.01,0.8,0.5,0.25,2.0,0.02,0.1,354,282,22,35,232,12,3,50,176.21999999999989,3635.6399999999967,-247.3326649831508,-0.0680300208445146
False,0.01,0.8,0.5,0.25,2.0,0.05,0.1,354,282,22,35,232,12,3,50,176.21999999999989,3635.6399999999967,-247.3326649831508,-0.0680300208445146
False,0.01,0.8,0.5,0.25,3.0,0.02,0.1,353,281,22,11,256,11,3,50,176.00999999999988,3625.539999999997,-246.81793209097614,-0.06807756419484445
False,0.01,0.8,0.5,0.25,3.0,0.05,0.1,353,281,22,11,256,11,3,50,176.00999999999988,3625.539999999997,-246.81793209097614,-0.06807756419484445
False,0.01,0.7,0.35,0.25,3.0,0.02,0.1,387,303,23,8,278,14,3,61,219.95999999999992,3989.1999999999975,-286.9685711082406,-0.07193637097870269
False,0.01,0.7,0.35,0.25,3.0,0.05,0.1,387,303,23,8,278,13,4,61,219.94999999999993,3989.1999999999975,-287.014523489193,-0.07194789017577288
False,0.01,0.7,0.35,0.25,2.0,0.02,0.1,387,303,23,37,249,14,3,61,219.9699999999999,3989.1999999999975,-287.0295525540569,-0.07195165761407227
False,0.01,0.7,0.35,0.25,2.0,0.05,0.1,387,303,23,37,249,13,4,61,219.95999999999992,3989.1999999999975,-287.0755049350093,-0.07196317681114245
False,0.01,0.7,0.5,0.25,2.0,0.02,0.1,386,302,23,40,245,14,3,61,219.7199999999999,3979.0599999999977,-287.6329929828901,-0.07228666895771621
False,0.01,0.7,0.5,0.25,2.0,0.05,0.1,386,302,23,40,245,13,4,61,219.7099999999999,3979.0599999999977,-287.67894536384244,-0.07229821750962354
False,0.01,0.7,0.5,0.25,3.0,0.02,0.1,385,301,23,10,274,14,3,61,219.5099999999999,3968.9599999999973,-287.2683593561712,-0.07237874893074543
False,0.01,0.7,0.5,0.25,3.0,0.05,0.1,385,301,23,10,275,12,4,61,219.49999999999991,3968.9599999999973,-287.31431173712355,-0.07239032687079833
False,0.01,0.7,0.35,0.25,1.5,0.02,0.1,389,304,24,122,165,14,3,61,221.13999999999993,4009.8599999999974,-291.768343865405,-0.0727627258471381
False,0.01,0.7,0.35,0.25,1.5,0.05,0.1,389,304,24,122,165,13,4,61,221.12999999999994,4009.8599999999974,-291.81429624635734,-0.07277418569385403
False,0.01,0.7,0.5,0.25,1.5,0.02,0.1,388,303,24,123,163,14,3,61,220.86999999999995,3999.7199999999975,-291.9660321030932,-0.07299661778901857
False,0.01,0.7,0.5,0.25,1.5,0.05,0.1,388,303,24,123,163,13,4,61,220.85999999999993,3999.7199999999975,-292.01198448404557,-0.07300810668847964
False,0.03,0.8,0.5,0.25,3.0,0.02,0.1,170,144,0,8,125,7,4,26,82.35000000000004,1745.8799999999999,-138.83141985216932,-0.07951945142402074
False,0.03,0.8,0.5,0.25,3.0,0.05,0.1,170,144,0,8,125,7,4,26,82.35000000000004,1745.8799999999999,-138.83141985216932,-0.07951945142402074
False,0.03,0.8,0.35,0.25,3.0,0.02,0.1,170,144,0,6,127,7,4,26,82.35000000000004,1745.8799999999999,-138.90679164490763,-0.07956262265728896
False,0.03,0.8,0.35,0.25,3.0,0.05,0.1,170,144,0,6,127,7,4,26,82.35000000000004,1745.8799999999999,-138.90679164490763,-0.07956262265728896
False,0.03,0.8,0.35,0.25,2.0,0.02,0.1,170,144,0,11,122,7,4,26,82.36000000000003,1745.8799999999999,-139.119170765708,-0.07968426854406259
False,0.03,0.8,0.35,0.25,2.0,0.05,0.1,170,144,0,11,122,7,4,26,82.36000000000003,1745.8799999999999,-139.119170765708,-0.07968426854406259
False,0.03,0.8,0.5,0.25,2.0,0.02,0.1,170,144,0,12,121,7,4,26,82.36000000000003,1745.8799999999999,-139.12357036325096,-0.07968678853257438
False,0.03,0.8,0.5,0.25,2.0,0.05,0.1,170,144,0,12,121,7,4,26,82.36000000000003,1745.8799999999999,-139.12357036325096,-0.07968678853257438
False,0.03,0.8,0.5,0.25,1.5,0.02,0.1,170,144,0,48,85,7,4,26,82.38000000000004,1745.8799999999999,-139.26286290616144,-0.07976657210470448
False,0.03,0.8,0.5,0.25,1.5,0.05,0.1,170,144,0,48,85,7,4,26,82.38000000000004,1745.8799999999999,-139.26286290616144,-0.07976657210470448
