minimum_expected_pnl,minimum_probability_edge,side_filter,trades,yes_trades,no_trades,pnl,fees,capital,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
0.25,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
0.5,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
1.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
1.5,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
2.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
2.0,0.1,no,20,0,20,171.1637460222321,7.809999999999999,207.80999999999997,0.8236550022724225,6,69.36015007446443,1.1142192783046494,9,52.465533016909724,0.5610086935084444,5,49.33806293085796,0.9480796105084158,5,3,0.5610086935084444
2.0,0.075,no,21,0,21,178.50732325800448,8.19,218.18999999999997,0.818127885136828,6,69.36015007446443,1.1142192783046494,9,52.465533016909724,0.5610086935084444,6,56.681640166630324,0.9080685704362436,6,3,0.5610086935084444
1.5,0.1,no,29,0,29,201.43569039812698,10.52,300.52,0.6702904645219186,8,69.94674581914528,0.8433415218126992,9,51.069508061473,0.5462563703227403,12,80.41943651750874,0.648073466979682,8,3,0.5462563703227403
2.0,0.03,no,28,0,28,195.20641416709532,12.4,292.4,0.6676005956467008,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,8,35.491640166630326,0.42449037395802325,8,3,0.3999590477019937
2.0,0.04,no,28,0,28,195.20641416709532,12.4,292.4,0.6676005956467008,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,8,35.491640166630326,0.42449037395802325,8,3,0.3999590477019937
2.0,0.02,no,29,0,29,184.50641416709533,13.1,303.09999999999997,0.6087311585849401,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,9,24.791640166630323,0.2628739281797299,9,3,0.2628739281797299
0.0,0.1,no,32,0,32,196.60327641760946,10.81,330.81000000000006,0.5943087464635575,9,73.2500791524786,0.78788941758071,11,42.72426996623491,0.3756310002306568,12,80.62892729889593,0.6497093255350196,9,3,0.3756310002306568
0.25,0.1,no,32,0,32,196.60327641760946,10.81,330.81000000000006,0.5943087464635575,9,73.2500791524786,0.78788941758071,11,42.72426996623491,0.3756310002306568,12,80.62892729889593,0.6497093255350196,9,3,0.3756310002306568
0.5,0.1,no,32,0,32,196.60327641760946,10.81,330.81000000000006,0.5943087464635575,9,73.2500791524786,0.78788941758071,11,42.72426996623491,0.3756310002306568,12,80.62892729889593,0.6497093255350196,9,3,0.3756310002306568
1.0,0.1,no,32,0,32,196.60327641760946,10.81,330.81000000000006,0.5943087464635575,9,73.2500791524786,0.78788941758071,11,42.72426996623491,0.3756310002306568,12,80.62892729889593,0.6497093255350196,9,3,0.3756310002306568
1.5,0.075,no,31,0,31,171.58861639567345,11.330000000000002,321.33,0.5339950094783352,10,49.12674581914528,0.473465167879195,9,44.34885682324707,0.474573106722815,12,78.11301375328111,0.6293346257918233,9,3,0.473465167879195
1.5,0.03,no,40,0,40,219.90928625213272,16.55,416.55000000000007,0.5279301074352003,13,17.47674581914528,0.12906540003799777,13,145.51952667970642,1.0714145683971905,14,56.9130137532811,0.391639235846966,13,3,0.12906540003799777
1.5,0.04,no,40,0,40,219.88928625213273,16.57,416.57000000000005,0.5278567497710653,13,17.47674581914528,0.12906540003799777,13,145.4995266797064,1.0711095898093816,14,56.9130137532811,0.391639235846966,13,3,0.12906540003799777
2.0,0.05,no,25,0,25,136.16732325800444,10.53,260.53,0.5226550618278296,9,37.60015007446443,0.3999590477019937,9,52.465533016909724,0.5610086935084444,7,46.101640166630325,0.6315293173511003,7,3,0.3999590477019937
1.5,0.02,no,41,0,41,209.20928625213273,17.25,427.25000000000006,0.48966480105823923,13,17.47674581914528,0.12906540003799777,13,145.51952667970642,1.0714145683971905,15,46.213013753281096,0.2961992933808556,13,3,0.12906540003799777
1.5,0.05,no,34,0,34,139.90861639567342,13.010000000000002,353.00999999999993,0.3963304620143153,12,28.026745819145283,0.2244653677650591,9,44.34885682324707,0.474573106722815,13,67.53301375328111,0.501358676713297,9,3,0.2244653677650591
1.0,0.04,no,48,0,48,193.82012806786614,17.800000000000004,497.8,0.38935341114476923,15,23.43356903763695,0.15056263838111633,16,122.46188781928419,0.7377222157788206,17,47.92467121094497,0.2720519482910137,15,3,0.15056263838111633
1.0,0.02,no,49,0,49,183.24012806786615,18.380000000000003,508.38000000000005,0.36043929357540844,15,23.43356903763695,0.15056263838111633,16,122.46188781928419,0.7377222157788206,18,37.34467121094497,0.19998217420448197,15,3,0.15056263838111633
1.0,0.03,no,49,0,49,183.24012806786615,18.380000000000003,508.38000000000005,0.36043929357540844,15,23.43356903763695,0.15056263838111633,16,122.46188781928419,0.7377222157788206,18,37.34467121094497,0.19998217420448197,15,3,0.15056263838111633
1.0,0.075,no,39,0,39,141.9358100536487,13.03,403.03000000000003,0.35217182357057464,12,55.06356903763696,0.4440252321396416,12,21.071217962824857,0.17013498556984138,15,65.8010230531868,0.42405763390595347,12,3,0.17013498556984138
0.0,0.075,no,40,0,40,143.52371703039287,13.07,413.07000000000005,0.3474561624673611,12,55.133569037636946,0.4448408023046389,13,22.589124939569036,0.16862589533867597,15,65.8010230531868,0.42405763390595347,12,3,0.16862589533867597
0.25,0.075,no,40,0,40,143.52371703039287,13.07,413.07000000000005,0.3474561624673611,12,55.133569037636946,0.4448408023046389,13,22.589124939569036,0.16862589533867597,15,65.8010230531868,0.42405763390595347,12,3,0.16862589533867597
0.5,0.075,no,40,0,40,143.52371703039287,13.07,413.07000000000005,0.3474561624673611,12,55.133569037636946,0.4448408023046389,13,22.589124939569036,0.16862589533867597,15,65.8010230531868,0.42405763390595347,12,3,0.16862589533867597
1.5,0.01,no,47,0,47,145.02928625213278,21.430000000000003,491.43,0.29511687575470114,13,17.47674581914528,0.12906540003799777,15,124.12952667970642,0.7895778047179342,19,3.4230137532811087,0.017217512968568528,13,3,0.017217512968568528
2.0,0.01,no,36,0,36,109.63641416709538,17.97,377.96999999999997,0.29006644486889277,10,26.910150074464433,0.2570214906825638,13,100.72462392600066,0.7396976127340873,13,-17.99835983336967,-0.13127906515951615,10,2,-0.13127906515951615
2.0,0.075,both,53,39,14,143.5044121031332,24.809999999999988,554.8100000000001,0.25865505687196194,19,79.4538643003608,0.39960702258392,17,10.858975663352949,0.061094720734516425,17,53.19157213941945,0.2984266839060785,17,3,0.061094720734516425
1.5,0.075,both,59,39,20,157.9534581852866,24.47999999999999,614.4800000000001,0.25705223633850827,21,7.909510068929263,0.036156107464478254,17,-5.377530894185451,-0.030338679233768418,21,155.4214790105427,0.7114087930175432,17,2,-0.030338679233768418
1.0,0.01,no,53,0,53,140.46012806786618,21.160000000000007,551.1600000000001,0.2548445606863092,15,23.43356903763695,0.15056263838111633,17,111.7718878192842,0.6325875138337441,21,5.254671210944982,0.024012572366425906,15,3,0.024012572366425906
1.0,0.05,no,43,0,43,103.19945821140676,14.88,444.88,0.23197144895568864,14,33.983569037636954,0.23422406118710423,13,10.681217962824853,0.07956807183272387,16,58.53467121094497,0.3535769931195709,13,3,0.07956807183272387
0.5,0.04,no,60,0,60,122.43264715099166,19.880000000000006,619.8800000000001,0.19751023932211337,22,-3.3442956087218736,-0.014719610953881485,18,74.8072596955087,0.4021679463228252,20,50.96968306420483,0.2466235208990411,18,2,-0.014719610953881485
0.0,0.04,no,61,0,61,110.59782173675444,19.830000000000005,629.8300000000002,0.17559948198204978,22,-4.652420686258724,-0.020498857447385985,18,74.48055935880835,0.4004331148323031,21,40.76968306420482,0.18799134534147102,18,2,-0.020498857447385985
0.25,0.04,no,61,0,61,110.59782173675444,19.830000000000005,629.8300000000002,0.17559948198204978,22,-4.652420686258724,-0.020498857447385985,18,74.48055935880835,0.4004331148323031,21,40.76968306420482,0.18799134534147102,18,2,-0.020498857447385985
1.5,0.05,both,61,41,20,106.17373618582113,25.819999999999993,635.8200000000002,0.16698709726938615,23,-36.63630388455911,-0.1526194704626499,17,-5.407530894185438,-0.030502769033085738,21,148.21757096456574,0.6783723326676997,17,1,-0.1526194704626499
2.0,0.05,both,56,39,17,85.33438815673918,27.339999999999986,587.3400000000003,0.14528959062338534,21,-42.125026576204476,-0.19127742167826575,17,83.24624839062568,0.46746545592220184,18,44.21316634231801,0.23389497086345024,17,2,-0.19127742167826575
0.0,0.05,no,56,0,56,82.63904964334888,17.82,577.8199999999999,0.14301867301815252,20,17.56570439127812,0.0851505375504296,17,-5.471831213582243,-0.031199858670214645,19,70.54517646565297,0.35964912804309435,17,2,-0.031199858670214645
0.25,0.05,no,56,0,56,82.63904964334888,17.82,577.8199999999999,0.14301867301815252,20,17.56570439127812,0.0851505375504296,17,-5.471831213582243,-0.031199858670214645,19,70.54517646565297,0.35964912804309435,17,2,-0.031199858670214645
0.5,0.05,no,56,0,56,82.63904964334888,17.82,577.8199999999999,0.14301867301815252,20,17.56570439127812,0.0851505375504296,17,-5.471831213582243,-0.031199858670214645,19,70.54517646565297,0.35964912804309435,17,2,-0.031199858670214645
0.0,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
0.25,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
0.5,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
1.0,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
1.5,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
2.0,0.15,both,34,26,8,44.31853059836025,16.14,356.14000000000016,0.12444131689324486,16,-1.9575497918377707,-0.011699436958150674,10,16.340106364224003,0.15602125813256945,8,29.935974025974026,0.3559992154355337,8,2,-0.011699436958150674
1.0,0.075,both,77,58,19,89.99620933888421,26.909999999999986,796.9100000000003,0.11293145943567552,27,-23.830152955623717,-0.08529656008169416,21,-13.257361060491004,-0.06107975609532829,29,127.08372335499897,0.4229357140408644,21,1,-0.08529656008169416
2.0,0.04,both,58,40,18,64.03438815673917,28.639999999999986,608.6400000000003,0.10520897107771282,21,-42.125026576204476,-0.19127742167826575,18,72.54624839062568,0.3842899056606934,19,33.613166342317996,0.16837732977166753,18,2,-0.19127742167826575
0.5,0.03,no,61,0,61,62.70022290856745,20.370000000000005,630.3700000000002,0.0994657469558631,22,-3.3442956087218736,-0.014719610953881485,18,25.654835453084427,0.13798857278982588,21,40.38968306420483,0.1859133857961097,18,2,-0.014719610953881485
1.5,0.1,both,56,37,19,49.19998106689922,22.929999999999993,582.9300000000002,0.08440118207486183,20,7.670884833524363,0.036849136924265564,16,-39.07432563317529,-0.23402003733110918,20,80.60342186655016,0.387908089256221,16,2,-0.23402003733110918
0.5,0.02,no,62,0,62,52.21022290856744,20.86,640.8600000000001,0.08146899932679123,23,-13.834295608721872,-0.05820310323834352,18,25.654835453084427,0.13798857278982588,21,40.38968306420483,0.1859133857961097,18,2,-0.05820310323834352
1.5,0.04,both,65,42,23,53.90531513318958,28.21999999999999,678.2200000000001,0.07948057434636191,24,-47.18630388455911,-0.18829331159041943,19,-26.667530894185415,-0.13431817716422598,22,127.75914991193413,0.5577053863800162,19,1,-0.18829331159041943
1.0,0.075,yes,72,72,0,55.52137796448457,27.66999999999998,747.6700000000002,0.07425920254187617,25,18.972397370286657,0.07306349355060907,20,11.859081516539776,0.05700385270399815,27,24.689899077658133,0.08819080967873312,20,3,0.05700385270399815
0.0,0.1,both,60,40,20,44.19020211093157,22.889999999999997,622.8900000000001,0.07094382974671541,21,-10.312377577823156,-0.04725895961607239,16,-26.329563728413373,-0.15848771280571466,23,80.83214341716811,0.33884780304828377,16,1,-0.15848771280571466
0.25,0.1,both,60,40,20,44.19020211093157,22.889999999999997,622.8900000000001,0.07094382974671541,21,-10.312377577823156,-0.04725895961607239,16,-26.329563728413373,-0.15848771280571466,23,80.83214341716811,0.33884780304828377,16,1,-0.15848771280571466
0.5,0.1,both,60,40,20,44.19020211093157,22.889999999999997,622.8900000000001,0.07094382974671541,21,-10.312377577823156,-0.04725895961607239,16,-26.329563728413373,-0.15848771280571466,23,80.83214341716811,0.33884780304828377,16,1,-0.15848771280571466
1.0,0.1,both,60,40,20,44.19020211093157,22.889999999999997,622.8900000000001,0.07094382974671541,21,-10.312377577823156,-0.04725895961607239,16,-26.329563728413373,-0.15848771280571466,23,80.83214341716811,0.33884780304828377,16,1,-0.15848771280571466
2.0,0.04,yes,51,51,0,37.28061642216745,26.93999999999999,536.9400000000002,0.06943162443134696,18,7.503714225896374,0.039666512797464575,17,63.78721275527727,0.35593556584608715,16,-34.01031055900622,-0.20176975889301266,16,2,-0.20176975889301266
2.0,0.03,both,60,42,18,42.71438815673918,29.959999999999983,629.9600000000003,0.06780492119616986,22,-52.805026576204476,-0.2286822856359814,18,72.57624839062568,0.3845099252483481,20,22.94316634231801,0.10909731974473612,18,2,-0.2286822856359814
2.0,0.05,yes,50,50,0,33.557539499090545,26.239999999999988,526.2400000000001,0.06376850771338274,18,-6.89936269718055,-0.03647561563404996,16,74.48721275527728,0.4420343763294599,16,-34.030310559006224,-0.2018644593605779,16,1,-0.2018644593605779
1.5,0.02,both,66,43,23,43.25531513318956,28.86999999999999,688.8700000000002,0.06279169528821048,24,-47.18630388455911,-0.18829331159041943,19,-26.637530894185428,-0.13418735023014172,23,117.07914991193412,0.4883181094091346,19,1,-0.18829331159041943
1.5,0.03,both,66,43,23,43.25531513318956,28.86999999999999,688.8700000000002,0.06279169528821048,24,-47.18630388455911,-0.18829331159041943,19,-26.637530894185428,-0.13418735023014172,23,117.07914991193412,0.4883181094091346,19,1,-0.18829331159041943
0.0,0.03,no,64,0,64,40.837096127718496,20.200000000000003,660.2,0.06185564393777415,23,-6.759844092912516,-0.028558699167353256,18,30.332922181056706,0.16301011490249737,23,17.264018039574292,0.07271509577783798,18,2,-0.028558699167353256
0.25,0.03,no,64,0,64,40.74709612771849,20.290000000000003,660.2900000000001,0.06171090903651197,23,-6.8498440929125195,-0.028927928092033102,18,30.332922181056706,0.16301011490249737,23,17.264018039574292,0.07271509577783798,18,2,-0.028927928092033102
2.0,0.02,both,61,42,19,31.974388156739188,30.699999999999985,640.7000000000004,0.04990539746642605,22,-52.805026576204476,-0.2286822856359814,18,72.57624839062568,0.3845099252483481,21,12.203166342318006,0.05520795486028774,18,2,-0.2286822856359814
1.0,0.05,both,77,59,18,30.15954414285298,27.449999999999985,797.4500000000003,0.03781998136918047,27,-60.899300242445435,-0.21760630401788544,21,-29.260376933506894,-0.13472869018098765,29,120.31922131880532,0.4005166982417539,21,1,-0.21760630401788544
2.0,0.1,both,49,36,13,14.662641123425594,22.299999999999997,512.3000000000003,0.028621200709399934,18,6.353730769329974,0.033778472989526714,16,-6.716115879803109,-0.040148947153294534,15,15.025026233898735,0.09574959363942603,15,2,-0.040148947153294534
2.0,0.03,yes,53,53,0,15.960616422167451,28.259999999999987,558.2600000000002,0.0285899337623463,19,-3.1762857741036186,-0.015893348882179727,17,63.80721275527726,0.35608690638583224,17,-44.670310559006225,-0.24924846869214495,17,1,-0.24924846869214495
2.0,0.01,yes,53,53,0,15.920616422167459,28.299999999999986,558.3000000000002,0.0285162393375738,19,-3.1762857741036186,-0.015893348882179727,17,63.80721275527726,0.35608690638583224,17,-44.71031055900622,-0.24941599106887322,17,1,-0.24941599106887322
2.0,0.02,yes,53,53,0,15.920616422167459,28.299999999999986,558.3000000000002,0.0285162393375738,19,-3.1762857741036186,-0.015893348882179727,17,63.80721275527726,0.35608690638583224,17,-44.71031055900622,-0.24941599106887322,17,1,-0.24941599106887322
