horizon_seconds,minimum_fill_probability,minimum_expected_pnl,attempts,trades,pnl,capital,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,profitable_folds,minimum_fold_trades,worst_fold_roi
2,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.1,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.1,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.1,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.2,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.2,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.2,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.2,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.3,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.3,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.3,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.3,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.4,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
2,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.1,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.1,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.1,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.2,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.2,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.2,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.2,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.3,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.3,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.3,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.3,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.4,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
5,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.2,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.2,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.2,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.2,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.3,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.3,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.3,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.3,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.4,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.1,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.1,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.1,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.2,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.2,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.2,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.2,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.3,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.3,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.3,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.3,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.4,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
30,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.1,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.1,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.1,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.2,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.2,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.2,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.2,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.3,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.3,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.3,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.3,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.2,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.3,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.4,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.5,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.6,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.6,-0.25,89,70,-11.263996603388026,700.0,-0.016091423719125753,18,-3.1687721646468825,-0.01760428980359379,27,-4.0645903992382655,-0.015054038515697279,25,-4.030634039502878,-0.016122536158011513,0,18,-0.01760428980359379
5,0.6,-0.25,88,68,-11.127292447386116,680.0,-0.016363665363803112,15,-2.763637029511747,-0.018424246863411646,27,-3.938854711704825,-0.014588350784091944,26,-4.4248007061695445,-0.01701846425449825,0,15,-0.018424246863411646
2,0.6,-0.25,92,69,-11.575109747932053,690.0,-0.01677552137381457,16,-2.845133983737337,-0.017782087398358355,28,-4.385175058025172,-0.01566133949294704,25,-4.344800706169544,-0.017379202824678176,0,16,-0.017782087398358355
10,0.5,-0.25,104,77,-13.160308689732409,770.0,-0.017091309986665467,21,-4.0720084660167455,-0.019390516504841644,28,-4.351172677719278,-0.015539902420425994,28,-4.737127545996385,-0.016918312664272805,0,21,-0.019390516504841644
5,0.5,-0.25,104,74,-12.8736045337305,740.0,-0.017396762883419594,17,-3.5168733308816105,-0.020687490181656533,28,-4.2254369901858375,-0.015090846393520848,29,-5.131294212663051,-0.017694117974700177,0,17,-0.020687490181656533
2,0.5,-0.25,108,74,-12.905171834276436,740.0,-0.017439421397670858,17,-3.1821202851072,-0.018718354618277647,29,-4.671757336506184,-0.016109508056917878,28,-5.051294212663051,-0.01804033647379661,0,17,-0.018718354618277647
10,0.4,-0.25,124,78,-13.706387121104958,780.0,-0.017572291180903792,21,-4.0720084660167455,-0.019390516504841644,29,-4.897251109091827,-0.016887072789971817,28,-4.737127545996385,-0.016918312664272805,0,21,-0.019390516504841644
5,0.4,-0.25,122,75,-13.388789718915685,750.0,-0.017851719625220915,17,-3.5168733308816105,-0.020687490181656533,28,-4.2254369901858375,-0.015090846393520848,30,-5.646479397848237,-0.018821597992827458,0,17,-0.020687490181656533
2,0.4,-0.25,127,75,-13.42035701946162,750.0,-0.01789380935928216,17,-3.1821202851072,-0.018718354618277647,29,-4.671757336506184,-0.016109508056917878,29,-5.566479397848237,-0.019194756544304265,0,17,-0.019194756544304265
10,0.1,-0.25,132,79,-14.252465552477506,790.0,-0.018041095636047475,21,-4.0720084660167455,-0.019390516504841644,30,-5.443329540464377,-0.01814443180154792,28,-4.737127545996385,-0.016918312664272805,0,21,-0.019390516504841644
10,0.2,-0.25,132,79,-14.252465552477506,790.0,-0.018041095636047475,21,-4.0720084660167455,-0.019390516504841644,30,-5.443329540464377,-0.01814443180154792,28,-4.737127545996385,-0.016918312664272805,0,21,-0.019390516504841644
10,0.3,-0.25,132,79,-14.252465552477506,790.0,-0.018041095636047475,21,-4.0720084660167455,-0.019390516504841644,30,-5.443329540464377,-0.01814443180154792,28,-4.737127545996385,-0.016918312664272805,0,21,-0.019390516504841644
5,0.1,-0.25,130,76,-13.952871351568746,760.0,-0.01835904125206414,17,-3.5168733308816105,-0.020687490181656533,29,-4.789518622838899,-0.016515581458065167,30,-5.646479397848237,-0.018821597992827458,0,17,-0.020687490181656533
5,0.2,-0.25,130,76,-13.952871351568746,760.0,-0.01835904125206414,17,-3.5168733308816105,-0.020687490181656533,29,-4.789518622838899,-0.016515581458065167,30,-5.646479397848237,-0.018821597992827458,0,17,-0.020687490181656533
5,0.3,-0.25,130,76,-13.952871351568746,760.0,-0.01835904125206414,17,-3.5168733308816105,-0.020687490181656533,29,-4.789518622838899,-0.016515581458065167,30,-5.646479397848237,-0.018821597992827458,0,17,-0.020687490181656533
2,0.1,-0.25,136,76,-13.984438652114683,760.0,-0.01840057717383511,17,-3.1821202851072,-0.018718354618277647,30,-5.2358389691592455,-0.017452796563864153,29,-5.566479397848237,-0.019194756544304265,0,17,-0.019194756544304265
2,0.2,-0.25,136,76,-13.984438652114683,760.0,-0.01840057717383511,17,-3.1821202851072,-0.018718354618277647,30,-5.2358389691592455,-0.017452796563864153,29,-5.566479397848237,-0.019194756544304265,0,17,-0.019194756544304265
2,0.3,-0.25,136,76,-13.984438652114683,760.0,-0.01840057717383511,17,-3.1821202851072,-0.018718354618277647,30,-5.2358389691592455,-0.017452796563864153,29,-5.566479397848237,-0.019194756544304265,0,17,-0.019194756544304265
30,0.6,-0.25,82,58,-12.468435859629453,580.0,-0.021497303206257676,13,-1.5640071192473926,-0.012030823994210712,23,-7.075885290198688,-0.030764718653037773,22,-3.828543450183373,-0.017402470228106242,0,13,-0.030764718653037773
60,0.6,-0.25,80,60,-13.010407117811207,600.0,-0.021684011863018677,14,-2.012471689496859,-0.01437479778212042,24,-7.257002947871755,-0.03023751228279898,22,-3.740932480442592,-0.017004238547466327,0,14,-0.03023751228279898
30,0.4,-0.25,118,64,-14.085080224454849,640.0,-0.0220079378507107,15,-2.1875756990982684,-0.014583837993988456,24,-7.3624675686797,-0.030676948202832083,25,-4.53503695667688,-0.01814014782670752,0,15,-0.030676948202832083
30,0.5,-0.25,97,64,-14.085080224454849,640.0,-0.0220079378507107,15,-2.1875756990982684,-0.014583837993988456,24,-7.3624675686797,-0.030676948202832083,25,-4.53503695667688,-0.01814014782670752,0,15,-0.030676948202832083
30,0.1,-0.25,126,65,-14.631158655827399,650.0,-0.022509474855119074,15,-2.1875756990982684,-0.014583837993988456,25,-7.90854600005225,-0.031634184000209,25,-4.53503695667688,-0.01814014782670752,0,15,-0.031634184000209
30,0.2,-0.25,126,65,-14.631158655827399,650.0,-0.022509474855119074,15,-2.1875756990982684,-0.014583837993988456,25,-7.90854600005225,-0.031634184000209,25,-4.53503695667688,-0.01814014782670752,0,15,-0.031634184000209
30,0.3,-0.25,126,65,-14.631158655827399,650.0,-0.022509474855119074,15,-2.1875756990982684,-0.014583837993988456,25,-7.90854600005225,-0.031634184000209,25,-4.53503695667688,-0.01814014782670752,0,15,-0.031634184000209
60,0.1,-0.25,115,65,-15.004843690428809,650.0,-0.023084374908352013,16,-2.636040269347735,-0.016475251683423345,25,-7.543585226352768,-0.03017434090541107,24,-4.825218194728305,-0.020105075811367938,0,16,-0.03017434090541107
60,0.2,-0.25,115,65,-15.004843690428809,650.0,-0.023084374908352013,16,-2.636040269347735,-0.016475251683423345,25,-7.543585226352768,-0.03017434090541107,24,-4.825218194728305,-0.020105075811367938,0,16,-0.03017434090541107
60,0.3,-0.25,115,65,-15.004843690428809,650.0,-0.023084374908352013,16,-2.636040269347735,-0.016475251683423345,25,-7.543585226352768,-0.03017434090541107,24,-4.825218194728305,-0.020105075811367938,0,16,-0.03017434090541107
60,0.4,-0.25,107,65,-15.004843690428809,650.0,-0.023084374908352013,16,-2.636040269347735,-0.016475251683423345,25,-7.543585226352768,-0.03017434090541107,24,-4.825218194728305,-0.020105075811367938,0,16,-0.03017434090541107
60,0.5,-0.25,94,65,-15.004843690428809,650.0,-0.023084374908352013,16,-2.636040269347735,-0.016475251683423345,25,-7.543585226352768,-0.03017434090541107,24,-4.825218194728305,-0.020105075811367938,0,16,-0.03017434090541107
